wj;I
sxw;let begin
sxw;nest
sxw A;written
sxwn;writer
sxwn;Evening
sxwnw;bad things circumpolar stars can't do
sxws;epithet of Seth
sxwd;detach from something
sxbx;silver disc
sxp;vessel
sxp;type of bread
sxpt;honor
sxpw;disgrace
sxpwt;to lift someone up
sxpn;dry
sxpr;make empty
sxpr;enlighten
sxprw;polish
sxf;furniture polisher
sxf;bright
sxm;Light
sxm;light colored dress
sxm;Name of the wine
sxm;Fabric
sxm;name of Hathor
sxm;name of the sky
sxm;cucumber
sxm;golden amulet
sxm;designation of the sun god
sxm;to mark someone
sxm;open
sxm;let go
sxm;lead, guide
sxm;leadership
sxmt;distribution
sxmt;manifestation
sxmt;God
sxmt;Designation of a god
sxmtj;Dean
sxmtj;Water body in VII Gau of Lower Egypt
sxmwjj;Dab
sxm-jb;whetstone
sxm-jrj=f;Butcher
sxm-aAt;Instruction
sxm-bAt;Moon eye
sxm-mjtr;Place of the blessed dead
sxm-nst;Cult image
sxm-Hr;Escort
sxmjt;Guide
sxmjj;Sower in front of the rams
sxmw;Behavior
sxmx;Snake
sxmx-jb;2 day hour
sxmx-jb;Uraeus snake
sxn;heat
sxn;Gold alloy
sxn;lotus flower
sxn;added during baking
sxn;spin
sxn;tear, destroy
sxnt;anger
sxn;storm
sxn;shape
sxn;go
sxn;leak
sxn;<<in certain titles>>
sxn;String
sxn;ropes on ship
sxn;Fish
sxn;Substance name
sxnt;Summer lotus
sxntjj;let circle
sxnw;Demolition
sxnw;Lotus flower
sxnw;destroy
sxn-wr;Headband
sxnj;Papyrus stem
sxnj;Papyrus pond
sxnj;Papyrus barque
sxnjw;bird of the papyrus pond
sxnS;paint, coat
sxnS;milk
sxnt;work with threads
sxnt-st=f;offering
sxntj;drying
sxntjj;laundry, linen
sxntS;work o ä
sxnd;linen
sxr;reduce
sxr;make wise
sxr;flower
sxr;Sistrum
sxr;?
sxrt;Accessories
sxrt;tear out
sxrw;Play Sistrum
sxr-sxt;Sistrum
sxrj;Way
sxrj;official used
sxrj;Way
sxrjw;Preparation of the bed
sxra;Lotus flower
sxrwj;make secret
sxrxr;secret
sxrd;secret
sxx;shape
sxx;go away
sxx;mummy bandage
sxs;field
sxs;bread
sxsw;of mysterious evils that the year can bring
sxsf;decorate
sxsf;libation water
sxsf;dress, wrap
sxsx;epithet of the sun god
sxt;4 day hour
sxt;of man
sxt;constellation
sxt;penetrate
sxt;bandage
sxt;decorate with bandage
sxt;window
sxt;leather bag
sxt;designation of the hair
sxt;shrine of the hawk
sxt;window of appearance
sxt-nD;pick
sxt-Dbt;fish trap
sxtj;make high
sxtj;Pedestal
sxtj;elevation
sxtj;highest point
sxtjt;double
sxtw;whitewash, repel
sxtxt;tie up
sxd;make spit
sxd;jug for water donation
sxd;cool
sxd;cool
sxdj;cool
sxdw;cool room for food
sxdxd;delight
sX;to please someone
sXt;refresh
sXt;bake bread in ashes
sXwt;hurt
sXA;make fat
sXA(t);noun: something bad
sXA-Hr;ointment
sXAk;make angry
sXj;beat
sXj;prisoner
sXj;blow
sXa;unbolt
sXa;prisoner of war
sXa;offer sacrifice
sXa;roll
sXat;make miserable
sXb;boatman
sXbw;embankment
sXp;let baün
sXp;boat baür zuhaün"
sXp;go around, avoid
sXm;ship's crew
sXm;ride
sXm-xt;protect
sXnw;drive
sXnm;let sleep
sXnn;dig
sXnn;sweep, wipe
sXnn;position as a star
sXnn;complaint against someone
sXnkt;grind
sXr;defoliate
sXr;lance
sXr;ship fight
sXr;song
sXrt;donkey fill
sXrj-a;guide
sXrd;Genius of the flour
sXkr;Suffering on the head
sXd;Evening, west
ss;Ship
ss;guardian of the body
ssw;Sun ship
ssw;Lance bearer
ssA;Battle rage
ssA;Snake
ssA;God
ssAA;plow
ssAj;harvest
ssj;plow animal
ss(jj);field
ssjTn;throne
ssw;animal
ssw;cover
ssw;god pulling sun ship
sswt;straw mop
sswn;go down
sswn;destroy
sswr;spend time
ssbj;flour
ssbj;sea ships
ssbq;border
ssbT;strain
sspr;complete
sspd;turn gray
sspd;graying of hair
ssf;make black
ssf;cover
ssf;poultry
ssf;creature in the realm of the dead
ssmt;greedy, voracious
ssmj;device
ssmj;arrows
ssmn;to make someone unpopular in front of someone
ssn;decorate
ssn;God Soker
ssn;vessel
ssnj;prisoner of war
ssnb;noun
ssnD;to be bent
ssrd;Noun
sshp;God
ssH;name of a snake
ssHA;illuminate
ssxm;light
ssqbb;name of the sun-worshipping baboon
sskA;chop, destroy
sskA;eclipse
sst;lowly officer
sstj;sun barque
sst(j);ship for cattle transport
ssD;march
ssDAt;tree
sS;marvel
sS;silence
sS;hill, fortress
sS;<<in: {sgA mnH} "to summon / weaken the fate">>
sS;wonder
sS;shout
sS;shout
sS;gatekeeper in the realm of the dead
sS;waters
sS;crush completely
sS;see
sS;sacred spear of Horus of Edfu
sS;soften
sS;anoint
sS;ointment
sS?;additive for beer preparation
sSt;make silent, calm
sSw;silence, calm
sSw;fort, lock
sSw;sacred snake
sSw;calm, appease
sS-m-qdwt;yard
sS-mDAt;furnish
sS-n-mdw-nTr;swaying branches
sS-n-mD;device
sS-n-sA;them
sS-n-snf;leg
sS-n-Sat;measure for fruits
sS-n-Sajt;11 day
sS-nSn;25 day
sS-Hsb;Swelling
sS-sHmt;Noun
sS-qdwt;God with spear
sS-TA;10 day hour
sSA;Staff with head of Seth
sSA;heat
sSA;Fire
sSAt;Protector
sSAw;pull
sSAj;lamp
sSAa;press a seal into something
sSj;mineral from Nubia
sSjt;Nubia
sSjt;Feast of the Anukis of Amada
sSjt;Nubia
sSjw;handle the sickle
sSa;shoot
sSw;arrow
sSw;throw
sSw;pour
sSw;pour out
sSw-n-hA;pour seed
sSwA;splash
sSwA;tie
sSwj;burn
sSwj;radiate
sSwj;turn
sSb;bakery
sSp;bakery products
sSp;fabric for collars
sSp;Osiris bone
sSp;made from cedar wood
sSp;Sanctuary
sSp;Goddess Satis
sSp?;Fruits
sSpt;Epithet of the Uraeus goddesses
sSpt;the enlightener
sSpt;Nubians
sSpt;Protectors
sSpj;name of the Bedouins of Asia
sSpsj;spouting fire
sSm;misfire
sSm;foot stretch
sSm;Nubian oil of Upper Egypt
sSm;bottle
sSm;baking
sSm;admire
sSm;arrow, spear
sSm;target
sSm;Rays
sSm;sunbeam
sSm;move
sSm;behold
sSm;secure
sSmt;ban
sSmt;make similar
sSmt;praise
sSmw;collect
sSmw;to offer something
sSmw;extenuation
sSmw;result
sSmt-a;to work with drafts
sSmj;disassemble
sSmjt;release
sSmwt;geese
sSmm;select
sSmt;be choosy
sSn;select
sSnt;lobe
sSn;wrap
sSn;constellation
sSn;20 day of the lunar month
sSn;Most exquisite
sSn;Unseemly
sSn;Sanctuary of Thoth
sSn;Most exquisite
sSn;protect
sSnt;excellent, wise
sSnw;Association
sSnw;protect, protector
sSn-n-Hnkjt;palace, court
sSn-n-Smw;sperm
sSnj;pour off
sSnjt;overflow
sSnn;water
sSnn;disease
sSnn;delight
sSnt;exterminate
sSnt;comfort
sSnt;goddess
sSntjj;part of the head
sSr;occupation
sSr;mislead
sSr;to be distended
sSr;green plants
sSr;sweet smelling
sSr;making jewelry
sSr;slaughter
sSrw;scare away animals
sSrr;boarding
sSsA;dry
sSsS;Noun
sSsS;staff
sSsS;title
sSsSt;seduce, entice
sSS;weapon or staff
sSS;open
sSSt;Bird
sSSt;God Seth
sSS;God Seth
sSSt;from the life of the nomads
sSSj;let approach
sSSn;them
sStA;Thöris
sStA;from the transport of the papyrus
sStA;Jug for beer
sStA;Baking pan
sStA;Asia
sStA;Pastry
sStA;inscription over vessels
sStA;Clothes of the gods
sStA;Incense
sStA;Property of man
sStA;Sower
sStA;Action in brewing beer
sStAj;mug
sStAjt;to make a living
sSd;pull
sSd;pull, flow
sSd;tough
sSd;aisle, ramp, way up
sSd;spin
sSd;{Hbs} tissue
sSd;Waters in the gau of Kusä
sSd;swelling
sSd;drink
sSdt;drawable container
sSd-n-xa;presentation
sq;Arure
sq;Necropolis
sqt;pulling
sqA;attempted murder
sqA;Farmland
sqA;dance position
sqA(jj);prepare, form
sqAb;tug of the sun ship)
sqAH;tug
sqAs;connect
sqa;fertilize farmland
sqb;clothing, bandages
sqbw;bring about
sqbb;sow
sqbb;to pour seeds
sqbbwj;scent
sqbb-jb;in official use
sqbb-Hr;fruit
sqbH;marvel
sqfn;Pitcher
sqn;Same
sqnj;Goddess Satis
sqnjxA;Fragrance of Nechbet
sqnn;Incense
sqns;Bad breath
sqnd;Breakfast
sqr;Name of an oil
sqr;Flowers
sqr;Scent of the south
sqr;Asians
sqr;snake
sqr anx;jump up
sqr-wdnt;dripping
sqrqr;select
sqsn;fish
sqd;Noun
sqd;epithet of the Sothis
sqd;white crown
sqd;Crowned
sqd;morbid condition
sqdt;the two uraea
sqdwt;to raise, to crown
sqd-sA;to be able to compare oneself with someone
sqdj;elevations, appearances
sqdd;verb; compare {sTftn}
sk;four-footed mythical creature
sk;wrap up
sk;boat
sk;upper eyelid
sk;make shine
sk;cheer someone up
sk;raise, lift up
sk;wake up
sk;to make rutting
sk;to tie oneself to something
sk;to lie stretched out on the back
sk;pluck
sk;straightening
sk;clouds
skt;pluck
skt;noun
sktj;drizzle
sktjj;deity
sktt;tail
sk(tjj);break
skw;be dressed
sk-rA;dress
sk-Hr;god
skA;section
skA;water breakthrough
skA;tail
skA;Child
skA;part of the temple
skA;Plant
skAp;Fish
skj;Anniversary celebrate
skj;bittern
skj;trembling
skj;trembling
skj;trembling
skj;Trembling
sktw;feet moving
skw;Tail
skp;morning
skm;disintegrate
skm;embalm
skm;smooth hem of a piece of linen
skm;garment
skm;eat
skm;equip, supply
skmjw;equipment, devices
skn;chain
skn;measure for figs
sknh;goddess
skntj;make up
skr;make up
skr;name of the knife
skr;make up
skr;attach
skr-anx;punish
skrkr;block access
sks;hire someone
skswt;lower, let sink, drown
sksn;hide
sksk;hidden hole
sksk;hidden water hole
sksk;plant
sksk;make red
sksk;redness
sksk;ointment
skk;cut
skt;hide, conceal
sktt;Hide
sktj-jhw;God
sg;let see
sg;let see, glimpse
sg;hide, conceal
sgA;Hidden
sgA;God
sgA;astonishment
sgA;precious wood
sgAwt;break
sgb;Break
sgb;water breakthrough
sgb;fire, flame
sgbjn;child
sgm;girl
sgmH;the shining one = the sun god
sgmH;Demons
sgnn;part of the temple
sgnn;potsherd
sgnn;go
sgnn;bring
sgr;pleasure
sgr;let be well
sgr;mythical creature
sgr;part of leg
sgrH;make fat
sgrg;necklace with sealing cylinder
sgrg;precious
sgrgr;treasure
sgrT;preservation
st;sealing
st;enjoy
st;pleasure
stt;treasurer
stt;excrements
stt;to have sexual intercourse with woman
stt;impregnate
stw;speak praisingly of something
stt-jrw;connect
st-nks;hoe
stA;to make bad
stA;despondent
stA;live
stA;damage
stAt;deep
stAjj;part of a fish
stj;restrain, hinder
stj;vegetables
stj;rope
stjt;feed
stjt;income of a temple
stj;Oath taking
stj;type of oath
stj;listen
stj;Interrogation
stj;Hearing
stj;Servant
stj;Hearing
stj;Epithet of the goddess Jusas
stj;Servant
stj;serve
stj;Servant
stj;19 day of the lunar month
stj;Listen to calls
stj;Listen to requests
stj;Obedient
stj;Talk
stj;the interrogators
stjt;carry
stjt;oil
stjj;Capricorn
stjjt;sleep, lie
stjjt;bed
stjw;remedy
stjw;secure
stjw;from work on a coffin
stj-bs;strongly
stj-r-thj;chamber
stj-rd;fortress
stj-Smajj;night camp
stjj;bedriddenness
stw;coitus
stw;Feast in Abydos
stw;sleeping potion
stw;Sleeper
stw;Snakes
stwt;Defeat
stwt-jtn;Lower leg
stwA;Snake
stwA;bird
stwr;make splendid
stwhA;tell, speak
stwt;words, speeches
stwt;make fat
stwt;rejuvenate
stwt;to make angry
stwt-mdt;to pity, to despise
stwtj;image
stp;pond, lake, basin
stp;base
stp;work
stp;Designation for the stock of writing students
stp;Sacrificial bowl
stp;Hundred
stp;waters rich in fish
stp;Rush lake
stp;Fabric
stp;water rich in fish
stp;Marsh
stpt;Tree
stpt;field plants
stpt;bowl
stpw;name of the wine
stp-Ax;be friendly
stp-jb;rope on the ship
stp-n-HAw;animal of Seth
stp-sA;pig
stp-sA;run aground
stpw;official used
stf;determine
stf;title
stf;internal part of human body
stf;bird's claw
stf;Barque
stft;<<in: {m SAty n}>>
stfn;officially used plant
stm;excrement of man
stm;destiny
stnt;weight
stn(w);officially used plant
stnwjj;edible garden plant
stnm;to be given
stnn;pig
str;bundle
str;be worth
str;skill, destiny
str;escape
str;destiny, skill
str;sow
strt;animal
strjt;Nurse
strw;Boar
strw;?
sthA;start
stht;to
stH;barn
stH;hungry
stX;destiny
stS;waters in the district of Hermopolis
stS;fruit
stkn;name of Hathor and Isis
stt;from to
stt;emptiness, empty space
sT;value
sT;treat
sTt;disease in the eyes
sTt;bird
sTt;shallowness
sTt;Make up sticks
sTt;Table with food
sTt;name for enemies
sTt;to be blind
sTtt;staff
sTw;of transportation of the king's messengers
sTA;ship
sTA;plant
sTA;meal
sTA;Fayan jewelry
sTA;Title
sTA;Noun
sTA;Way of killing
sTA;Mineral
sTA;Deity
sTA;name for a married person
sTA;to be hot, to be burning
sTA;mother-in-law
sTAt;big jug
sTAt;dirty laundry
sTAt;official used
sTAt;dirty water of the launderer
sTAt;countries pass through
sTAw;noun
sTAw;officially used plant
sTAt-AHt;eye disease
sTA-sfg;bale, pack, bundle
sTAj;doctor's knife
sTAjw;plant
sTAtjw;pull through, walk
sTAm;walk
sTAm;Stride
sTAm(t);Bedouin
sTAsTA;leak
sTj;miss
sTj;officially used fruit
sTj;miss
sTj;twist ropes
sTj;incapable
sTj;window
sTj;designation of a sanctuary
sTjt;<<in: "to leave earth" = "to be unfaithful">>
sTjt;throat
sTj-nxbt;Necklace
sTj-nTr;grains or fruits
sTj-rA;leather object
sTj-rA;ring
sTj-Hb;part of a column
sTj-SA;container for arrows
sTj-Sma;staff
sTtjw;food
sTw;place name
sTp;dig
sTp;cut umbilical cord
sTp;name for philae
sTp;crocodile
sTp;sacrificial object
sTp;cut
sTftn;type of examination with finger
sTn;separate
sTnt;Cake
sTnw;Vessel
sTnw;scribe's device
sTnw;writing
sTnwjj;God
sTnj;sand
sTnj;plot
sTnj;wounding
sTnw;Knife
sTntf;Bread
sTr;Value knife
sTr;Washing bowl
sTr;document
sTrt;name for foreign land
sTHn;part of barley
sTHn-Hr;fish
sTs;gutted fish
sTs;bread
sTs;sand
sTs;be grainy
sTs;disease
sTs;cake
sTs;memory
sTsw;drink
sTsw;baked product in the form of a piece of meat
sTt;Drink
sTtj;Cake
sTtf;Washing bowl
sTTtj;Baking in the form of a piece of meat
sd;Guardian spirit
sd;attack
sd;prison
sd;promise
sd;sacred snake
sd;Mineral or metal for decorations
sdt;Crate
sdt;crate
sdtj;cut, cut off
sdt jAdt;sword
sd-pnw;of incisions on {Dd} pillar
sd-Hw(tjj);cut piece of wood
sd-Hb-sd;necropolis
sdA;lumberjack
sdA;place name
sdAw;to be empty
sdAdA;having nothing
sdAdA;empty
sdj;blank papyrus
sdjt;God Shoe
sdwA;to become dry
sdwn;dry
sdwx;dry
sdb;light
sdb;shine
sdb;Umbrella
sdbH;pitcher for beer
sdbH;Noun
sdf;Donkey
sdf;Noun
sdfjt;Vessel
sdm;feather
sdm;human body side
sdmt;neighbors
sdmw;set of pyramids
sdmj;official used
sdnj;shadow
sdnj-nmtt;blank eye
sdhn;Protective sail
sdH;designation of female
sdH;dry land
sdx;rising
sdx;herb
sdx-n-mw;guiltless
sds;insolvent
sdSr;impoverish
sdSrw;socially low
sdS(r)-Smajj;Uschebti
sdq;low woman
sdg;impoverished
sdg;poor
sdg;rise
sdg;job title
sdgA;Name of the crocodile
sdgA;lack
sdgA;dry place
sdgA;drink
sdgAwt;merchant
sD;Coffin decoration
sD;Persea tree
sD;Uschebti, figure of the dead
sDt;Jug
sDt;furniture
sDtj;dry, hot wind
sDtjt;drought, dryness
sDtjj;Noun
sDtjjw;wooden device
sDt-jAdt;possession
sD-qrHt;help
sDA;piece of meat
sDA;fragrant plant
sDA;own
sDA;token
sDA;payment
sDA;Piece of meat
sDA;official used
sDA;crust, dregs
sDA;Cucumber
sDAt;the king offers it to gods
sDAw;wire of the red crown
sDAwt;Personal name
sDAj-Hr;food
sDAj-Hr;dregs
sDAw;mix
sDAw;mineral from which seals are made
sDAm;collar
sDAm;two ribs
sDAm;reef
sDAm;noun
sDAmt;tube
sDw;trachea
sDw-jbw;mix together
sDb;officially used plant
sDb;granular substance
sDb;food
sDb;mash
sDb;collar
sDf;mix
sDf;different
sDfA;multicolor collar components
sDfA;components of the kyphi
sDfA;name for cows
sDfA;oil
sDfA-tr;Verbum of Seth
sDm;to divide correctly
sDm;mix
sDm;brewer
sDm;vessel for sodium bicarbonate
sDmt;stick
sDmt;bird
sDm-aS;to be blind
sDm-aS;flow out
sDmt-aS;prize
sDm-mdw=f;throw
sDm-njs;blindness
sDm-sprw;suffering
sDmj;tree
sDmjt;raise, uplift, carry
sDmjw;disease
sDn;poppy plant
sDnt;good quality of woman
sDnf;drink
sDr;jug for beer
sDr;poppy seeds
sDr;wood from which statues are made
sDr;noun
sDr;splendid, sublime, precious
sDr;to distinguish someone, to honor
sDr;various gods
sDr;tombstone
sDrt;image, statue
sDrt;officially used plant or fruit
sDrt;distinguished woman
sDrt;child-waiting hippopotamus goddess
sDrt;jar
sDrw;distinguished
sDrw;glory
sDrjt;Jug
sDH;Noble
sDH;distinguished, to be distinguished
sDH;splendid, endow
sDsr;God
sDd;splendid, precious
sDd;distinguished lady
sDdA;hedgehog fish
sDdj;to be angry
sDdj;anger
sDdm;inflated
sDD;urinary bladder
S;noun
S;small birds, hunted by hawk
S;reputation
S;ram-headed
S;ram species
St;officially used
Sw-qaHw;swell
S-jArw;Reputation
S-pj;truth
S-qaH;wine-producing landscape
SA;Respected
SA;epithet of the Chnum
SA;fight
SA;to put to flight
SA;disease in the abdomen
SA;swell
SA;swelling
SA;small bird
SA;touch
SA;thicket
SA;spread
SA;sink in, collapse
SA?;ram
SAt;reputation
SAt;officially used
SAt;Respected
SAtjj;flower
SAw;to grasp, to grab
SAw;Papyrus
SAw;Criminal book of the court
SAw;Stretcher
SAwjt;papyrus scroll
SAwt;bird
SAj;go
SAj;servant
SAj;get hot
SAj;heat, enemy
SAj;heat
SAj;weapon
SAjt;step
SAjt;Land way
SAjj;Walk with statue
SAj-rrt;Heat, fever
SAj-TAj;In-law
SAjjtt;Gang
SAa;heat
SAa;walk back and forth
SAa;scale
SAa;heartbeat
SAa;chatty
SAa;myrrh type
SAa;foreign beggar
SAat;wander
SAa-r;wild
SAat;god of the 25 lunar month day
SAw;land stranger
SAw;misery
SAw;flower
SAw;disease-bringing creature
SAwt;symptom of disease
SAw n djt msdmt;goddess
SAb;priestess
SAb;barn
SAb;Stake
SAb;heat
SAbt;aisle in temple
SAbt;hot
SAbt;Crown of Upper Egypt
SAbw;heraldic plant of Upper Egypt
SAbw;snuggle
SAbw;slender
SAbw;sing
SAbw;Uraeus of the south
SAbjj;linen
SAp;upper egypt
SAm;singer
SAm;crown of Upper Egypt
S(A)mt;Upper Egyptian
SAmw;upper egyptian barley
SAmw;singer
SAmw;sick
SAmjt;act evil
SAmw;oil of the south
SAmw;summer
SAms;harvest
SArw;foreign land in the south
SArw;summer ships
SAs;heat, fever
SAs;heat, enemy
SAs;heat
SAst;heat, fever
SAsw;road
SAsw;stable for horses
SAsw;Snake
SAS;Snake
SASA;bow
SASA;god armed with bow
SASA;ear of corn
SASA;follow, escort
SASA;execution device
SASAt;servant
SAS(A);acolyte
SAS(A);retinue
SASAjt;Horus servant
SASAjt;retinue
SASAa;enjoy something
SAq;escort to grave
SAq;funeral
SAq;drudgery
SAq;plant
SAtj;part of building
SAT;Bread
SATt;Bread
SATw;avoid
SAd;submit to someone
SAd-XpA=f;ring
Sj;symbol of protection behind king
Sjj;high number
Sjk;earth circle
Sa;ocean
Sa;sea name
Sa;dangerous
Sa;tree
Sa;Tree
Sa;Cattle designation
Sa;fie!
Sa;see through, see
Sa;grain
Sa;incantation
Sat;courtiers of Osiris
Sat;hundred
Sat;hundred
Sat;name for Isis and Nephthys
Sat;circumcircle
Sat;disease
Sat;official message
Sat;Summoner
Sat;Grass
Sat;Perimeter
Satt;Date palm
Saj;Wig
Saj;Place name
Sajt;noun
Sajt;to be round
Sajt;dispute
Sajt;force
Sajt-sxn;suffer
Saw;ask
Sawt;invoke, discuss
Sawtj;hair
Sawt-sxn;beat down riot
Sab;stench
Saf;title
Sar;Supporting rod of a god
Sar;vessel
Sar;hailstorm
SaSt;plaintiff, beggar
Sat;crocodile
SaT;to litigate against someone
Sad;date bast
Sad;date bast
Sad;indignant
Sad;rain clouds
Sad;have pity
Sad-xt;Name of the plants
Sadw;plant from Wadi Natrun
Sw;to keep away from, to repel
Sw;be shy
Sw;lion shaped gargoyle
Sw;god of the slaughter
Sw;enemy
Sw;heraldic plant of Upper Egypt
Sw;chest
Sw;inner suffering
Sw;storm
Sw;fish
Sw;economic personnel
Sw;<<lies: {wHa} "fisherman">>
Sw;weight, measure
Sw;Goddess
Sw;Magazine
Sw;Cabin
Swt;Policemen
Swt;hindrance
Swt;an action
Swt;officially used plant
Swt;clouds
Swt;magazine
Swt;Fron
Swt;value
Swtt;Knit
Sww;Net
Sww;Gift
Sww;People
Sw-m-btA=f;Barn
Sw-m-DbA;court
SwA;official used
SwA;arboretum
SwA;Pine tree
SwAt;Inflorescence of date palms
SwAt;Trumpet
SwAw;Chest
Swj;Device for mouth opening
Swj;Chest
Swj;Hawk
Swjt;Disease
Swjt;Reed
Swjt;Mat
Swjtj;Water body in Upper Egypt
Swjjw;Fruit, cake?
Swb;Fish scale
Swbtj;disease
Swbtj;upset someone
Swr;have pain
SwSjjt;conqueror
SwSjjt;that which circles
SwSt;<<in: {Snnw nw xt} "rigging the mast">>
Swqr;get into disorder
Sb;cake
Sb;destroy
Sb;be rotten
Sb;destroy
Sb;warrior
Sb;enclosure
Sbt;blasphemy
Sbt;widow
Sbt;cow goddess
Sbt;invoke
Sbt;be angry
Sbt;hair
Sbt;Heron
Sbtjw;Acacia
Sbw;a cow goddess
Sbt-xprt;disease of the liver
Sbj;snake
Sbjj;quarrel, fight
Sbjw;invective
Sbtjw;shield
Sbw;quarrel, quarrel
Sbw;quarrel with someone
Sbb;disease of the liver
Sbb;the rebel = Seth
Sbb;enemy of the gods in crocodile form
Sbb;enmity
Sbb;enemies
Sbb;Acacia
Sbbt;Thorn acacia
Sbbt;thorn, splinter
Sbn;Temple official
Sbn;King's apron
Sbn;God
Sbn;waters
Sbnt;small, to be small
Sbnw;child, boy
SbSb;liquid product
SbSb;nose
SbSb;barley
SbSb;dress
Sbt(jj);be small
Sbd;child
Sbd;plant
Sp;obstruct
Sp;girl
Sp;type of barley
Sp;land of the gau of Herakleopolis
Spt;Son
Spt;part of the temple of Amon
Spt;Constipation
Spj;Wadi Natrun
Spn;Grain
Spn;rope on ship
Spnt;get into disorder
Spnt;blessing
Spnt;ask for peace
Spnn;Lay down weapons
Spnn;Provisions of soldiers
Sprw;be small
Sps;product
Sps;shout, scream
Sps;red wood
Sps;stream
Sps;be fast, hurry
Sps;one of the mediterranean people
Spst;hot wind
Spst;noun
Spst;bowl
Spsw;duck
Spsw;rope
Spsj;linen
Spss;Alabaster (or object made of it]
Spss;Grain, grain
Spss;valuable, good things
Spss;Sickness of the heart
Spss;Stretcher
Spsst;or object from it
Spt;ointment or oil
Spt;divine being
Spt;be experienced
Sptj;open
Sptjt;oil
Sptjj;night
Sf;officially used plant
Sf;hartebeest
Sf;skill
Sft;diagnosis
Sfw;Name of the tongue
Sfj;mineral from Nubia
Sfjt;fine dress
Sfjt;official used
Sfjt;fence
Sfjtj;receive, take
Sfjtj-HAt;acceptable
Sfa;Gifts
Sfa;4 fingers wide upper lip
Sftjw;Hand width
Sfw;image
Sfwt;keep away
Sfn;shine
Sfn;part of the kyphi
Sfnw;Made
SfSf;official used
SfSf;part of the fan
SfSft;noun
SfSft;Ropes of the ship
SfSft;Fabric
SfSfjtj;God
Sft;Vein
Sfd;Firm
Sfdw;Feast
Sfd-n-xbntj;wind
Sfdjt;to receive someone
SfDw;to be mourned
Sm;bend down
Sm;arrested
Sm;moon worshipping beings
Sm;loin belt
Sm;land in the east
Sm;Mineral
Smt;Horus
Smt;name of goddesses
Smt;something the dead person loosens when resurrected
Smt;leather law book
Smt;to be inflamed
Smt;strong
Smw;plant
Smw;god of wine and oil press
Sm-jw;image
Sm-jb;inflammation
Smt-jb;tribe
Sm-rA;grain, corn
Sm-rA-xt;Arrow
SmA;Name for protective gods
SmA;Type of slaughter
SmA;Slaughter cattle
SmA;from preparing the hearth stones for cooking
SmA;Linen
SmA;rope
SmAw;designation of the tongue
SmAw;to pronounce, to proclaim
SmAj;saying, thought
SmAj;attack
SmAjt;shine
SmAjt;holy of holies
Smj;cake
Smjt;bag
Smjt;God with arrows
Smjt;Goddess with arrows
Smj(t);animal
Sma;provided with something
Sma;twist ropes
Sma;erbaün
Sma;slaughter knife
Sma;throat
Sma;ring
Smat;part of a column
Smaw;container for arrows, quiver
Smaw;Rhino horn
Sma=s;device made of wood
Smaj;among fruits from Nubia
Smaj;Device made of wood
Smajt;Watering place
Smajj;Mineral from Nubia
Smajj;basket
Smaw;fight, quarrel
Smw;lockable box
Smw;water
Smw;pill
Smww;Wadi Natrun
Smm;secret
Smm;make secret
Smm;name of the mountains
Smmt;shape
Smmt;portable shrine
Smmt;dean's head
Sm(m);tree plantation
Smmjjt;Designation of the water
Smrt;field
Smrtj;small child
Sms;district
Sms;secret things
Smst;sanctuary of the Soker
Smst;vulture goddess
Smsw;vulture goddess of El Kab
Smsw;Body
Smsw-Hr;Egg
Smswt;Epithet of the sun god
Sms-jb;Mystery
Sms-wDA;timber
Sms-wDA;sacred place
Sms-Hr;Secret
SmSmt;Hidden
SmSmt;Staff
Smd;Name of the deceased
Smdw;Object
Sn;Leader of rowing women
Sn;Cake
Sn;Rear part of the rowing boat
Sn;turtle
Sn;part of the body
Sn;Designation of the realm of the dead
Sn;Turtle
Sn;Plant
Sn;close
Sn;Cage
Sn;Rod
Sn;Animal
Sn;Mass
Sn;barn
Sn;become violent
Snt;punishable act
Snt;box
Snt;decorate, dress
Snt;dress
Sntj;animal
Snw;sack
Snw;board to be cut
Snw;turtle
Snw;Tomb of the Soker
Snw;vaulted roof between walls
Snwt;steal
Sn-bnr;leather cushion
Sn-nbA;educator
Sn-qbHw;young brood of birds
Snj;messenger
Snj;lumber for ships
Snj;mortar
Snj;female genital
Snj;potter
Snj;liturgies
Snj;head bandage
Snj;stars
Snj;Field
Snj;Vessel for grain
Snj;Water hole, well
Snj;Dough
Snj;Crocodilopolis
Snjt;Sobek's epithet
Snjj;leather water hose
Snjj;part of the ship
Snj-jxt;savior
Snj-bnr;bird killer
Snj-bnrw;to offend against
Snj-bSTw;mischief
Snjt-pt;troublemaker
Snj-HAtj;take
Snj-tA;dig
Snj-tA;save
Sna;read
Sna;suckle
Sna;Nile God
Sna;dig
Sna;field
Sna;container
Sna;sacred cow
Sna;rubble heap
Sna;water
Sna;palace
Sna;casting the net
Sna;plot
Sna;pieces of arable land
Sna;inner animal body part
Snat;to be closed
Snat;chasms
Snaw;drink
Snaw;water
Snaw;land, plot
Snaw;standard bulge
Snaw;wait
Snaw;payment, expense
Snaw;Dough,
Snawt;designation of the atum
Sna(tjj);high
Snw;designation of foreign countries, peoples
Snw;Height
Snw;Primeval hill
Snw;<<lies: {aHaw} "servants">>
Snwt;high and low
Snwt;haughty
Snw-n-qAA;Hill
Snwj;officially used
Snwt;Insect
Snwt;Noun
Snb;Bolt
Snb;to be high
Snb;drink
