=i҆|I
sḫs|run in a hurry, hurry
sḫsw|runner
sḫsf|collate
sḫsf|exam
sḫsf|to resist, to seek arguments
sḫsḫ|run, hurry
sḫt|Catch birds
sḫt|braid, weave
sḫt|Part of the ship
sḫt|Waters
sḫt|Storm
sḫt|Male title
sḫt|eat something
sḫt|let go
sḫt|destroy
sḫt|Noose, trap, net
sḫt-nḏ|weave
sḫt-ḏbt|Form bricks
sḫti҆|Bird controller
sḫti҆|Weber
sḫti҆|Bled
sḫti҆|Hurry!
sḫti҆t|Bird writer
sḫtw|Trapped aquatic game meat
sḫtḫt|drive back
sḫd|be head down, sink down
sḫd|let go downstream
sḫd|let flow
sḫd|rebuke
sḫdi҆|Wrongdoers
sḫdw|Designation of special dead in the underworld
sḫdḫd|be turned upside down
sẖ|Wound, injury
sẖt|Grain fruit
sẖt|drink
sẖwt|noun
sẖꜣ|to withdraw, to free oneself
sẖꜣ(t)|drive
sẖꜣ-ḥr|angry
sẖꜣk|filter through
sẖi҆|deaf, be
sẖi҆|Deaf
sẖi҆|to be prostrate, to be prostrate
sẖꜥ|make fervent
sẖꜥ|Making the neck collar
sẖꜥ|dagger
sẖꜥ|Chain pendant
sẖꜥt|Hare
sẖb|devour, slurp
sẖbw|Potions
sẖp|take in
sẖp|Expression in pottery
sẖm|Comb the flax
sẖm|proceed harshly
sẖm-ḫt|Calculus, division, detail
sẖnw|noun
sẖnn|irritate
sẖnn|to destroy
sẖnn|Cause inflammation
sẖnn|Country name
sẖnkt|Sieve
sẖr|milking
sẖr|illness
sẖr|take something
sẖr|plan
sẖrt|officially used
sẖri҆-ꜥ|be inferior
sẖrd|rejuvenate
sẖkr|decorate
sẖd|deny
ss|burn
ss|network
ssw|dust
ssw|the heavenly waters
ssꜣ|lay down
ssꜣ|food
ssꜣꜣ|Disease of the head
ssꜣi҆|saturate
ssi҆|evil being
ss(i҆i҆)|the convict
ssi҆ṯn|subordinate
ssw|Enclosure
ssw|Demons
ssw|lock in
sswt|Metal ornament
sswn|punish
sswr|soak
ssbi҆|send
ssbi҆|Cause rebellion, revolt, stir up riot
ssbḳ|to honor someone
ssbṯ|to make someone laugh
sspr|to tow
sspd|Sharpen face
sspd|equip, equip
ssf|thin tissue
ssf|to vote friendly
ssf|burn
ssf|ash
ssmt|horse
ssmi҆|illness
ssmi҆|precious fabric
ssmn|Killing geese
ssn|to open
ssn|smell, breathe
ssni҆|be similar to
ssnb|get healthy
ssnḏ|to frighten you
ssrd|plant
ssḥ|Enemies
ssḥꜣ|Vessels
ssḫm|strengthen
ssḳbb|get some cooling
sskꜣ|temple
sskꜣ|Fabric for ointments
sst|calf
ssti҆|Play sistrum
sst(i҆)|plant
ssḏ|precious wood
ssḏꜣt|that which is sealed
sš|writing utensils
sš|write
sš|Writing, writing
sš|Clerk
sš|Writing paper
sš|to open
sš|Doorstep
sš|spread
sš|pass
sš|give free rein
sš|Banish anger
sš|Swamp, bird pond, nest
sš|Plant product from Nubia
sš|rope
sš|to cut
sš?|material
sšt|Tow rope
sšw|ink
sšw|Marsh birds
sšw|Silver disk
sšw|loaf
sš-m-ḳdwt|painted
sš-mḏꜣt|Recorder
sš-n-mdw-nṯr|Hieroglyphic writing
sš-n-mḏ|title
sš-n-sꜣ|Phyllis writer
sš-n-snf|illness
sš-n-šꜥt|demotic font
sš-n-šꜥi҆t|demotic font
sš-nšn|banish
sš-ḥsb|Bill clerk
sš-sḥmt|Clerk
sš-ḳdwt|painter
sš-ṯꜣ|Theban priestly title
sšꜣ|bad act
sšꜣ|bird
sšꜣ|change someone's mind
sšꜣt|Goddess of penmanship
sšꜣw|God
sšꜣi҆|to beg someone
sšꜣꜥ|let begin
sši҆|nest
sši҆t|Written
sši҆t|Clerk
sši҆t|Eve
sši҆w|Bad things that circumpolar stars can't do
sšꜥ|Epithet of Seth
sšw|break away from something
sšw|Silver disk
sšw|Vessel
sšw-n-hꜣ|Type of bread
sšwꜣ|to honor
sšwꜣ|to disgrace
sšwi҆|lift someone up
sšwi҆|dry
sšwi҆|to empty
sšb|enlighten
sšp|polishing
sšp|Furniture polisher
sšp|be bright
sšp|light
sšp|light colored dress
sšp|Name of the wine
sšp?|material
sšpt|Name of Hathor
sšpt|Name of the sky
sšpt|cucumber
sšpt|golden amulet
sšpi҆|Name of the sun god
sšpsi҆|award someone
sšm|to open
sšm|let go
sšm|lead, conduct
sšm|management
sšm|distribution
sšm|Manifestation
sšm|God
sšm|Designation of a god
sšm|dean
sšm|Waters in the VII Gau of Lower Egypt
sšm|swab
sšm|whetstone
sšm|Butcher
sšmt|Instruction
sšmt|Moon eye
sšmt|Place of the blessed dead
sšmw|Cult image
sšmw|Accompaniment
sšmw|leader
sšmw|Inscription on the sower before the rams
sšmt-ꜥ|behavior
sšmi҆|Snake
sšmi҆t|2 day hour
sšmwt|Uraeus snake
sšmm|heat
sšmt|Gold alloy
sšn|Lotus flower
sšnt|added when baking
sšn|be crazy
sšn|tear down, destroy
sšn|trouble
sšn|storm
sšn|shape
sšn|walk
sšn|step out
sšn|<< in certain titles >>
sšnt|line
sšnw|Ropes on the ship
sšnw|fishes
sšn-n-ḥnki҆t|Substance name
sšn-n-šmw|Summer lotus
sšni҆|let encircle
sšni҆t|cancellation
sšnn|Lotus flowers
sšnn|to destroy
sšnn|Forehead band
sšnt|Papyrus stem
sšnt|Papyrus pond
sšnt|Papyrus bark
sšnti҆i҆|Bird of the papyrus pond
sšr|paint, paint
sšr|milking
sšr|Work with threads
sšr|Offering
sšr|to dry up
sšr|Linen, linen
sšr|Work or similar
sšrw|Linen
sšrr|zoom out
sšsꜣ|make wise
sšsš|flower
sšsš|Sistrum
sšsš|?
sšsšt|equipment
sšš|run away
sšš|Play sistrum
sššt|Sistrum
sššt|path
sšš|officially used
sššt|path
sšši҆|Preparation of the bed
sššn|Lotus flower
sštꜣ|make a secret
sštꜣ|secret
sštꜣ|secret
sštꜣ|shape
sštꜣ|go away
sštꜣ|Mummy bandage
sštꜣ|Fields
sštꜣ|loaf
sštꜣ|of mysterious evils that the year can bring
sštꜣ|decorate
sštꜣ|Libation water
sštꜣ|dress, wrap
sštꜣi҆|Nickname of the sun god
sštꜣi҆t|4 day hour
sšd|from man
sšd|Constellation
sšd|penetration
sšd|Bandage
sšd|decorate with a bandage
sšd|window
sšd|leather bag
sšd|Name of the hair
sšdt|Shrine of the Falcon
sšd-n-ḫꜥ|Appearance Window
sḳ|pick
sḳt|Fish trap
sḳꜣ|make high
sḳꜣ|Pedestal
sḳꜣ|increase
sḳꜣ(i҆i҆)|the highest point
sḳꜣb|double
sḳꜣḥ|whitewash, remove
sḳꜣs|tie up
sḳꜥ|let it spit out
sḳb|Pitcher for water donation
sḳbw|cooling down
sḳbb|cool
sḳbb|cooler
sḳbbwi҆|cool space for food
sḳbb-i҆b|delight
sḳbb-ḥr|to please someone
sḳbḥ|refresh
sḳfn|Bake bread in ashes
sḳn|violate
sḳni҆|make fat
sḳni҆ḫꜣ|Noun: something bad
sḳnn|ointment
sḳnd|to make someone angry
sḳr|beat
sḳr|Prisoner
sḳr|Blow
sḳr|unlock
sḳr ꜥnḫ|Prisoner of war
sḳr-wdnt|Making sacrifices
sḳrḳr|roll
sḳsn|make miserable
sḳd|Skipper
sḳd|embankment
sḳd|leave brown
sḳd|Boat builder at home "
sḳd|walk around, avoid
sḳdt|Ship crew
sḳdwt|journey
sḳd-sꜣ|protect
sḳdi҆|drive
sḳdd|let sleep
sk|dig
sk|Sweep off, wipe
sk|Position as a star
sk|Complaint against someone
sk|grind
sk|defoliated
sk|lance
sk|Ship fight
sk|song
sk|Donkey filling
sk|conduct
sk|Genius of the flour
skt|Suffering from the head
skt|Evening, west
skti҆|ship
skti҆i҆|Guardian of the body
sktt|Sun ship
sk(ti҆i҆)|Lance bearer
skw|Battle riot
sk-rꜣ|Snake
sk-ḥr|God
skꜣ|plow
skꜣ|harvest
skꜣ|Plow bull
skꜣ|Fields
skꜣ|throne
skꜣ|animal
skꜣp|cover up
ski҆|God, the sun ship pulls
ski҆|Wipe
ski҆|go under
ski҆|destroy
ski҆|spend time
ski҆|Flour
sktw|Seagoing vessels
skw|border
skp|filter through
skm|make complete
skm|turn gray
skm|Graying of the hair
skm|let go black
skm|cover
skm|poultry
skmi҆w|Beings in the realm of the dead
skn|greedy, voracious
skn|device
sknh|Arrows
sknti҆|make someone disliked in front of someone
skr|decorate
skr|God Soker
skr|Vessel
skr-ꜥnḫ|Prisoner of war
skrkr|noun
sks|bend over
skswt|noun
sksn|God
sksk|Name of a snake
sksk|lighten up
sksk|light
sksk|Name of the sun-worshiping baboon
sksk|chop up, destroy
skk|darken
skt|lower officer
sktt|Solar barge
skti҆-i҆hw|Ship for cattle transport
sg|march
sg|tree
sgꜣ|be amazed
sgꜣ|remain silent
sgꜣ|Hill, fortress
sgꜣ|<< in: {sgA mnH} "conjure up / weaken fate" >>
sgꜣwt|Amazement
sgb|scream
sgb|shouting
sgb|Gatekeeper in the realm of the dead
sgbi҆n|Waters
sgm|crush completely
sgmḥ|see
sgmḥ|holy spear of Horus of Edfu
sgnn|to make something soft
sgnn|anoint
sgnn|ointment
sgnn|Additive in beer preparation
sgr|keep silent, calm down
sgr|Silence, calm
sgr|Castle, lock
sgr|sacred snake
sgrḥ|calm down, soothe
sgrg|Rahe
sgrg|set up
sgrgr|swaying branches
sgrṯ|device
st|you
st|leg
st|Measure for fruits
stt|11 day
stt|25 day
stt|swelling
stt|noun
stw|God with a spear
stt-i҆rw|10 day hour
st-nks|Staff with head of Seth
stꜣ|heat
stꜣ|Fire
stꜣ|Protector
stꜣ|pull
stꜣt|lamp
stꜣi҆i҆|to press a seal into something
sti҆|Mineral from nubia
sti҆|Nubia
sti҆t|Festival of the Anukis of Amada
sti҆t|Nubia
sti҆|handle the sickle
sti҆|shoot
sti҆|arrow
sti҆|throw
sti҆|pour
sti҆|pour out
sti҆|Pour seeds
sti҆|splash
sti҆|tie
sti҆|burn
sti҆|shine
sti҆|turn to
sti҆|Baked goods
sti҆|Bakery products
sti҆|Fabric for neck collars
sti҆|Osiris bone
sti҆|Made of cedar wood
sti҆t|sanctuary
sti҆t|Goddess Satis
sti҆i҆|fruit
sti҆i҆t|Epithet of the Uraeus goddesses
sti҆i҆t|the illuminator
sti҆w|Nubians
sti҆w|Protect
sti҆w|Name of the Bedouin of Asia
sti҆-bs|To breathe fire
sti҆-r-thi҆|miss
sti҆-rd|Straighten your foot
sti҆-šmꜥi҆i҆|nubian oil from upper egypt
sti҆i҆|bottle
stw|Baked goods
stw|admire
stw|Arrow, spear
stw|Target
stwt|Rays
stwt-i҆tn|Sunbeam
stwꜣ|move
stwꜣ|catch sight of
stwr|to back up
stwhꜣ|banish
stwt|do similar
stwt|boast
stwt|collect
stwt|to offer something
stwt-mdt|extenuation
stwti҆|Result
stp|work with adze
stp|disassemble
stp|trigger
stp|Geese
stp|choose
stp|be picky
stp|choice
stp|Rag
stp|envelop
stp|Constellation
stp|20 day of the lunar month
stpt|Choicest
stpt|Improper
stpt|Sanctuary of Thoth
stpw|Choice
stp-ꜣḫ|protect
stp-i҆b|excellent, smart
stp-n-ḥꜣw|Association
stp-sꜣ|protect, protector
stp-sꜣ|Palace, court
stpw|sperm
stf|pour off
stf|run over
stf|water
stft|illness
stfn|delight
stm|to devour
stm|to comfort
stnt|goddess
stn(w)|Part of the head
stnwi҆i҆|Job:
stnm|mislead
stnn|be distended
str|green plants
str|sweet smelling
str|Making jewelry
str|Butcher
str|Shoo animals away
str|to go on board
strt|dry
stri҆t|noun
strw|Rod
strw|title
sthꜣ|seduce, seduce
stht|Weapon or staff
stḥ|to open
stḥ|bird
stẖ|God Seth
stš|God Seth
stš|of the life of the nomads
stkn|let approach
stt|you
stt|Thöris
sṯ|from transporting the papyrus
sṯt|Mug for beer
sṯt|baking pan
sṯt|Asia
sṯt|Pastries
sṯt|Inscription above vessels
sṯt|Clothing of the idols
sṯt|Incense
sṯtt|Property of man
sṯw|sower
sṯꜣ|Action at the beer brewing
sṯꜣ|jug
sṯꜣ|Make a living
sṯꜣ|pull
sṯꜣ|draw, flow
sṯꜣ|tough
sṯꜣ|Corridor, ramp, access road
sṯꜣ|be crazy
sṯꜣ|{Hbs} tissue
sṯꜣ|Waters in the district of Kusa
sṯꜣ|swelling
sṯꜣ|drink
sṯꜣt|pullable container
sṯꜣt|Administration
sṯꜣt|Arure
sṯꜣt|necropolis
sṯꜣw|Pull
sṯꜣw|Attempted murder
sṯꜣt-ꜣḥt|Farmland
sṯꜣ-sfg|Dance position
sṯꜣi҆|prepare, shape
sṯꜣi҆w|Tug of the sun ship)
sṯꜣti҆w|tractor
sṯꜣm|connect
sṯꜣm|Fertilize arable land
sṯꜣm(t)|Clothes, bandages
sṯꜣsṯꜣ|bring about
sṯi҆|sow
sṯi҆|Pour seeds
sṯi҆|Scent
sṯi҆|in official use
sṯi҆|fruit
sṯi҆|marvel at
sṯi҆|jug
sṯi҆t|Seed
sṯi҆t|Goddess Satis
sṯi҆-nḫbt|Scent of Nechbet
sṯi҆-nṯr|incense
sṯi҆-rꜣ|Bad breath
sṯi҆-rꜣ|breakfast
sṯi҆-ḥb|Name of an oil
sṯi҆-šꜣ|Flowers
sṯi҆-šmꜥ|Scent of the south
sṯti҆w|Asians
sṯw|Snake
sṯp|jump up
sṯp|ooze
sṯp|choose
sṯp|fish
sṯn|noun
sṯnt|Nickname of the Sothis
sṯnw|white crown
sṯnw|Crowned
sṯnw|pathological condition
sṯnwi҆i҆|the two urea
sṯni҆|elevate, crown
sṯni҆|compare yourself to someone
sṯnw|Elevations, apparitions
sṯntf|Verb; compare {sTftn}
sṯr|fabulous quadruped animal
sṯr|wrap
sṯr|boat
sṯrt|upper eyelid
sṯḥn|let shine
sṯḥn-ḥr|to cheer someone up
sṯs|raise, raise
sṯs|wake
sṯs|make fervent
sṯs|to connect to something
sṯs|Lie stretched out on your back
sṯs|pluck
sṯsw|erection
sṯsw|Clouds
sṯt|pluck
sṯti҆|noun
sṯtf|drizzle
sṯṯti҆|Deity
sd|tail
sd|break
sd|be dressed
sd|dress
sd|God
sd|section
sdt|Water breakthrough
sdt|tail
sdti҆|Pupil
sdt i҆ꜣdt|Part of the temple
sd-pnw|plant
sd-ḥw(ti҆i҆)|fish
sd-ḥb-sd|Celebrate anniversary
sdꜣ|bittern
sdꜣ|tremble
sdꜣw|Tremble
sdꜣdꜣ|tremble
sdꜣdꜣ|Tremble
sdi҆|Set your feet in motion
sdi҆t|tail
sdwꜣ|To spend tomorrow
sdwn|disintegrate
sdwḫ|embalm
sdb|smooth hem of a piece of linen
sdb|clothing
sdb|eat
sdbḥ|equip, supply
sdbḥ|Equipment, devices
sdf|chain
sdf|Measure for figs
sdfi҆t|goddess
sdm|makeup
sdm|Make up
sdmt|Name of the knife
sdmw|Make-up
sdmi҆|append
sdni҆|punish
sdni҆-nmtt|Block access
sdhn|to hire somebody
sdḥ|lower, lower, drown
sdḫ|hide
sdḫ|hidden hole
sdḫ-n-mw|hidden water hole
sds|plant
sdšr|make red
sdšrw|Redness
sdš(r)-šmꜥi҆i҆|ointment
sdḳ|to cut
sdg|hide, hide
sdg|Hidden
sdg|God
sdg|let see
sdgꜣ|let see, behold
sdgꜣ|hide, hide
sdgꜣ|Hidden
sdgꜣ|God
sdgꜣwt|Amazement
sḏ|precious wood
sḏ|break
sḏ|fracture
sḏt|Water breakthrough
sḏt|Fire, flame
sḏti҆|child
sḏti҆t|girl
sḏti҆i҆|the shining one = the sun god
sḏti҆i҆w|Demons
sḏt-i҆ꜣdt|Part of the temple
sḏ-ḳrḥt|Pot shard
sḏꜣ|walk
sḏꜣ|bring
sḏꜣ|pleasure
sḏꜣ|let it be safe
sḏꜣ|Mythical beast
sḏꜣ|Part of the leg
sḏꜣ|make fat
sḏꜣ|Necklace with a seal cylinder
sḏꜣ|precious
sḏꜣt|sweetheart
sḏꜣw|Probation
sḏꜣwt|Seal
sḏꜣi҆-ḥr|have fun
sḏꜣi҆-ḥr|pleasure
sḏꜣw|Treasurer
sḏꜣw|Excrement
sḏꜣm|sexually dealing with woman
sḏꜣm|fertilize
sḏꜣm|to speak boasting of something
sḏꜣm|connect
sḏꜣmt|hoe
sḏw|make bad
sḏw-i҆bw|discouraged
sḏb|Life
sḏb|damage
sḏb|deep
sḏb|Part of a fish
sḏb|hold back, hinder
sḏf|vegetables
sḏf|rope
sḏfꜣ|Food
sḏfꜣ|Income of a temple
sḏfꜣ|Oath
sḏfꜣ-tr|Kind of oath
sḏm|Listen
sḏm|interrogation
sḏm|Listen
sḏm|servant
sḏmt|Heard
sḏmt|Nickname of the goddess Jusas
sḏm-ꜥš|servant
sḏm-ꜥš|serve
sḏmt-ꜥš|Servant
sḏm-mdw=f|19 day of the lunar month
sḏm-ni҆s|Hear calls
sḏm-sprw|Listen to requests
sḏmi҆|More obedient
sḏmi҆t|talk
sḏmi҆w|those holding the interrogation
sḏn|wear
sḏnt|oil
sḏnf|Capricorn
sḏr|sleep, lie
sḏr|bed
sḏr|Remedies
sḏr|to back up
sḏr|from working on a coffin
sḏr|strong
sḏr|chamber
sḏr|fortress
sḏrt|Night camp
sḏrt|Bedridden
sḏrt|Cohabitation
sḏrt|Festival in Abydos
sḏrt|Sleeping potion
sḏrw|sleeper
sḏrw|snakes
sḏri҆t|defeat
sḏḥ|Lower leg
sḏḥ|Snake
sḏḥ|bird
sḏsr|make it wonderful
sḏd|tell, speak
sḏd|Words, speeches
sḏdꜣ|make fat
sḏdi҆|rejuvenate
sḏdi҆|let it go
sḏdm|pity, despise
sḏḏ|picture
š|Pond, lake, basin
š|Pedestal
š|job
š|Name for the stock of writing students
š|Offering bowl
št|Hundred
šw-ḳꜥḥw|waters rich in fish
š-i҆ꜣrw|Binsensee
š-pi҆|material
š-ḳꜥḥ|fish-rich waters
šꜣ|Marshland
šꜣ|tree
šꜣ|Field plants
šꜣ|Bowl
šꜣ|Name of the wine
šꜣ|be friendly
šꜣ|Rope on ship
šꜣ|Beast of Seth
šꜣ|pig
šꜣ|accumulate
šꜣ|officially used
šꜣ|determine
šꜣ?|title
šꜣt|inner part of the human body
šꜣt|Bird claw
šꜣt|Barge
šꜣti҆i҆|<< in: {m SAty n} >>
šꜣw|officially used plant
šꜣw|Feces of humans
šꜣw|fate
šꜣw|Weight
šꜣwi҆t|officially used plant
šꜣwt|edible garden plant
šꜣi҆|be given gifts
šꜣi҆|pig
šꜣi҆|bunch
šꜣi҆|be worth
šꜣi҆|Skill, determination
šꜣi҆|flee
šꜣi҆t|Definite, skill
šꜣi҆t|sow
šꜣi҆i҆|animal
šꜣi҆-rrt|nurse
šꜣi҆-ṯꜣi҆|boar
šꜣi҆i҆tt|?
šꜣꜥ|to begin
šꜣꜥ|to
šꜣꜥ|barn
šꜣꜥ|hungry
šꜣꜥ|fate
šꜣꜥ|Waters in the district of Hermopolis
šꜣꜥ|fruit
šꜣꜥt|Name of Hathor and Isis
šꜣꜥ-r|from to
šꜣꜥt|Empty, empty space
šꜣw|value
šꜣw|to treat
šꜣw|Disease in the eyes
šꜣw|bird
šꜣwt|shallow
šꜣw n di҆t msdmt|Make-up sticks
šꜣb|Table with food
šꜣb|Designation for enemies
šꜣb|be blind
šꜣb|Rod
šꜣbt|of transporting the royal messengers
šꜣbt|ship
šꜣbt|plant
šꜣbw|Enjoy the meal
šꜣbw|Faience jewelry
šꜣbw|title
šꜣbw|noun
šꜣbw|Type of killing
šꜣbi҆i҆|mineral
šꜣp|Deity
šꜣm|Name for a married woman
šꜣm|be hot, be burning
š(ꜣ)mt|mother-in-law
šꜣmw|big jug
šꜣmw|dirty laundry
šꜣmw|officially used
šꜣmi҆t|Washer dirty water
šꜣmw|Crossing countries
šꜣmw|noun
šꜣms|officially used plant
šꜣrw|Eye disease
šꜣrw|Bales, packs, bundles
šꜣs|Doctor's knife
šꜣs|plant
šꜣs|go through, go
šꜣst|Hike
šꜣsw|Stride
šꜣsw|Bedouin
šꜣsw|leak
šꜣš|to miss
šꜣšꜣ|officially used fruit
šꜣšꜣ|to miss
šꜣšꜣ|Twist ropes
šꜣšꜣ|unable
šꜣšꜣ|window
šꜣšꜣt|Designation of a sanctuary
šꜣš(ꜣ)|<< in: "leave earth" = "be unfaithful" >>
šꜣšꜣi҆t|throat
šꜣšꜣi҆t|a necklace
šꜣšꜣꜥ|Grains or fruits
šꜣḳ|leather object
šꜣḳ|ring
šꜣḳ|Part of a pillar
šꜣḳ|Containers for arrows
šꜣti҆|Rod
šꜣṯt|food
šꜣṯw|Place name
šꜣd|dig
šꜣd-ẖpꜣ=f|Cut the umbilical cord
ši҆|Term for Philä
ši҆i҆|crocodile
ši҆k|Victim item
šꜥ|to cut
šꜥ|Type of examination with a finger
šꜥ|separate
šꜥ|cake
šꜥ|Vessel
šꜥ|Device of the recorder
šꜥ|document
šꜥ|God
šꜥ|sand
šꜥ|plot
šꜥt|Wounding
šꜥt|knife
šꜥt|loaf
šꜥt|Value meter
šꜥt|Wash bowl
šꜥt|document
šꜥt|Name for foreign country
šꜥt|Part of the barley
šꜥt|fish
šꜥt|gutted fish
šꜥtt|loaf
šꜥi҆|sand
šꜥi҆|be grainy
šꜥi҆t|Symptom of illness
šꜥi҆t|cake
šꜥi҆t|Storage
šꜥi҆t|drink
šꜥi҆t-sḫn|Baked goods in the form of a piece of meat
šꜥw|drink
šꜥwt|cake
šꜥwti҆|Wash bowl
šꜥwt-sḫn|Baked goods in the form of a piece of meat
šꜥb|Guardian spirit
šꜥf|attack
šꜥr|jail
šꜥr|Promise
šꜥr|sacred snake
šꜥšt|Mineral or metal for decorations
šꜥt|box
šꜥṯ|box
šꜥd|cut, cut off
šꜥd|sword
šꜥd|of incisions on the {Dd} pillar
šꜥd|cut piece of wood
šꜥd|necropolis
šꜥd-ḫt|lumberjack
šꜥdw|Place name
šw|to be empty
šw|Not having
šw|to empty
šw|unwritten papyrus
šw|God sho
šw|get dry
šw|dry
šw|Dry
šw|light
šw|to shine
šw|umbrella
šw|Mug for beer
šw|noun
šw|ass
šw|noun
šw|Vessel
šwt|feather
šwt|human body side
šwt|neighbours
šwt|Set of pyramids
šwt|officially used
šwt|shadow
šwt|empty eye
šwt|Guard sail
šwtt|Designation of female persons
šww|dry land
šww|ascending
šww|herb
šw-m-btꜣ=f|innocent
šw-m-ḏbꜣ|insolvent
šwꜣ|impoverish
šwꜣ|socially low
šwꜣ|Ushabti
šwꜣt|low woman
šwꜣt|Impoverishment
šwꜣw|Poor
šwi҆|rise
šwi҆|Job title
šwi҆|Name of the crocodile
šwi҆t|defect
šwi҆t|dry place
šwi҆t|drink
šwi҆ti҆|Merchant
šwi҆i҆w|Coffin decoration
šwb|Persea tree
šwbti҆|Shabti, figure of the dead
šwbti҆|jug
šwr|Furniture
šwši҆i҆t|dry, hot wind
šwši҆i҆t|Drought, drought
šwšt|noun
šwḳr|Device made of wood
šb|possession
šb|help
šb|Piece of meat
šb|fragrant plant
šb|have
šb|Game piece
šbt|pay
šbt|Piece of meat
šbt|officially used
šbt|Crust, sediment
šbt|cucumber
šbt|the king offers it to gods
šbt|Wire of the red crown
šbti҆w|Personal designation
šbw|food
šbt-ḫprt|Sediment
šbi҆|Mix
šbi҆i҆|Mineral from which seals are made
šbi҆w|collar
šbti҆w|two pieces of rib
šbw|reefing
šbw|noun
šbb|tube
šbb|windpipe
šbb|mix together
šbb|officially used plant
šbb|granular substance
šbb|eat
šbbt|mash
šbbt|collar
šbn|Mix
šbn|different
šbn|multicolored collar components
šbn|Components of Kyphi
šbnt|Term for cows
šbnw|oil
šbšb|Verb of Seth
šbšb|divide correctly
šbšb|Mix
šbšb|Brewer
šbt(i҆i҆)|Vessel for baking soda
šbd|floor
šbd|bird
šp|be blind
šp|flow out
šp|Honorary award
šp|throw
špt|blindness
špt|Suffer
špt|tree
špi҆|raise, straighten, carry
špn|illness
špn|Poppy plant
špnt|good quality of woman
špnt|drink
špnt|Mug for beer
špnn|Poppy seeds
špnn|Wood from which statues are made
šprw|noun
šps|glorious, sublime, precious
šps|to honor someone
šps|different gods
šps|Tombstone
šps|Picture, statue
šps|officially used plant or fruit
špst|elegant woman
špst|child waiting hippopotamus goddess
špst|jug
špsw|Genteel
špsw|glory
špsi҆|jug
špss|Genteel
špss|respected, be excellent
špss|splendid, equip
špss|God
špss|Splendid, precious things
špsst|genteel lady
špt|Hedgehog fish
špt|be angry
špt|trouble
špti҆|inflated
špti҆t|bladder
špti҆i҆|noun
šf|little birds, hunted by the falcon
šf|Look at
šf|ram-headed
šft|Ram species
šfw|officially used
šfi҆|swelling
šfi҆t|Look at
šfi҆t|truth
šfi҆t|winemaking landscape
šfi҆ti҆|Respectable
šfi҆ti҆-ḥꜣt|Epithet of Khnum
šfꜥ|fight
šfꜥ|to flee
šfti҆w|Symptoms of illness in the abdomen
šfw|swelling
šfwt|swelling
šfn|little bird
šfn|touch
šfnw|thicket
šfšf|spread
šfšf|sink in, break in
šfšft|Aries
šfšft|Look at
šfšft|officially used
šfšfi҆ti҆|Respectable
šft|flower
šfd|grasp, pack
šfdw|papyrus
šfd-n-ḫbnti҆|Criminal Book of the Court
šfdi҆t|stretcher
šfḏw|Papyrus scroll
šm|bird
šm|walk
šm|servant
šm|getting hot
šm|Heated enemy
šm|heat
šmt|weapon
šmt|step
šmt|Land route
šmt|Aisle with a statue
šmt|Heat, fever
šmt|In-law
šmw|gear
šmw|heat
šm-i҆w|go back and forth
šm-i҆b|Scale
šmt-i҆b|Heartbeat
šm-rꜣ|chatty
šm-rꜣ-ḫt|Myrrh type
šmꜣ|alien beggar
šmꜣ|hike
šmꜣ|wild
šmꜣ|God of the 25th lunar month day
šmꜣ|Strangers
šmꜣw|misery
šmꜣw|flower
šmꜣi҆|disease-causing being
šmꜣi҆|Symptom of illness
šmꜣi҆t|goddess
šmꜣi҆t|priestess
šmi҆|barn
šmi҆t|Stake
šmi҆t|heat
šmi҆t|Aisle in the temple
šmi҆(t)|hot
šmꜥ|Crown of Upper Egypt
šmꜥ|Heraldic plant of Upper Egypt
šmꜥ|to cuddle up
šmꜥ|slender
šmꜥ|to sing
šmꜥ|Uraeus of the south
šmꜥt|linen
šmꜥw|Upper Egypt
šmꜥw|Singer
šmꜥ=s|Crown of Upper Egypt
šmꜥi҆|Upper Egyptian
šmꜥi҆|Upper Egyptian barley
šmꜥi҆t|singer
šmꜥi҆i҆|ill
šmꜥi҆i҆|act evil
šmꜥw|oil of the south
šmw|summer
šmw|harvest
šmw|Foreign country in the south
šmww|Summer ships
šmm|get hot, feverish
šmm|Heated enemy
šmm|heat
šmmt|Heat, fever
šmmt|Road
šmmt|Stable for horses
šm(m)|Snake
šmmi҆i҆t|Snake
šmrt|arc
šmrti҆|God armed with a bow
šms|Ear of corn
šms|follow, guide
šmst|Execution device
šmst|Servant
šmsw|Henchman
šmsw|entourage
šmsw-ḥr|Horus servant
šmswt|entourage
šms-i҆b|enjoy something
šms-wḏꜣ|escort to the grave
šms-wḏꜣ|funeral
šms-ḥr|Fron
šmšmt|plant
šmšmt|Part of the building
šmd|loaf
šmdw|loaf
šn|avoid
šn|submit to someone
šn|ring
šn|Protection symbol behind king
šn|high number
šn|Earth circle
šn|ocean
šn|Sea name
šn|dangerous
šn|tree
šn|tree
šn|Name of the cattle
šn|Pooh!
šn|look through, see
šn|Grain
šnt|incantation
šnt|Courtiers of Osiris
šnt|hundred
šnt|Hundreds
šnti҆|Name for Isis and Nephthys
šnw|Radius
šnw|illness
šnw|official report
šnw|Summoner
šnw|grass
šnwt|Radius
šn-bnr|Date palm
šn-nbꜣ|wig
šn-ḳbḥw|Place name
šni҆|noun
šni҆|be round
šni҆|fight
šni҆|to force
šni҆|Suffer
